Наименование	Ссылка	Значение	Представление	ОтборЗначений
cc4c1211-dd48-11e8-83dc-485ab6090f00	cc4c1213-dd48-11e8-83dc-485ab6090f00	-	Не использовать OpenID-аутентификацию	
e9d592f7-dd41-11e8-83dc-485ab6090f00	cc4c1214-dd48-11e8-83dc-485ab6090f00	+	Да	
e9d592f7-dd41-11e8-83dc-485ab6090f00	cc4c1215-dd48-11e8-83dc-485ab6090f00	-	Нет	
cc4c121a-dd48-11e8-83dc-485ab6090f00	cc4c121b-dd48-11e8-83dc-485ab6090f00	x86	Использовать только 32-разрядные версии	
cc4c121a-dd48-11e8-83dc-485ab6090f00	cc4c121c-dd48-11e8-83dc-485ab6090f00	x86_64	Использовать только 64-разрядные версии	
cc4c121a-dd48-11e8-83dc-485ab6090f00	cc4c121d-dd48-11e8-83dc-485ab6090f00	х86_prt	Приоритетно использовать 32-разрядные версии	
cc4c121a-dd48-11e8-83dc-485ab6090f00	cc4c121e-dd48-11e8-83dc-485ab6090f00	x86_64_prt	Приоритетно использовать 64-разрядные версии	
605e73bf-de01-11e8-83dd-485ab6090f00	605e73c0-de01-11e8-83dd-485ab6090f00	-windows	Системное хранилища сертификатов MS Windows	
605e73bf-de01-11e8-83dd-485ab6090f00	605e73c1-de01-11e8-83dd-485ab6090f00	-file	Файл	
605e73bf-de01-11e8-83dd-485ab6090f00	605e73c2-de01-11e8-83dd-485ab6090f00	-none	Сертификаты не используются	
605e73c5-de01-11e8-83dd-485ab6090f00	605e73c6-de01-11e8-83dd-485ab6090f00	-windows	Системное хранилище сертификатов MS Windows	
605e73c5-de01-11e8-83dd-485ab6090f00	605e73c7-de01-11e8-83dd-485ab6090f00	-file	Использовать клиентский сертификат и приватный ключ из указанного файла	
605e73c5-de01-11e8-83dd-485ab6090f00	605e73c8-de01-11e8-83dd-485ab6090f00	-none	Клиентский сертификат не используется	
605e73c9-de01-11e8-83dd-485ab6090f00	605e73ca-de01-11e8-83dd-485ab6090f00	-recent	Выбирать или использовать ранее выбранный клиентский системный сертификат MS Windows	
605e73c9-de01-11e8-83dd-485ab6090f00	605e73cb-de01-11e8-83dd-485ab6090f00	-auto	Использовать автоматически выбранный клиентский сертификат	
605e73c9-de01-11e8-83dd-485ab6090f00	605e73cc-de01-11e8-83dd-485ab6090f00	-choose	Всегда выбирать используемый клиентский сертификат Microsoft Windows	
605e73cf-de01-11e8-83dd-485ab6090f00	605e73d0-de01-11e8-83dd-485ab6090f00	/HttpsForceSSLv3	Принудительное использование протокола SSL версии 3.0	
605e73cf-de01-11e8-83dd-485ab6090f00	605e73d1-de01-11e8-83dd-485ab6090f00	/HttpsForceTLS1_0	Принудительное использование протокола TLS версии 1.0	
605e73d6-de01-11e8-83dd-485ab6090f00	605e73d7-de01-11e8-83dd-485ab6090f00	-Off	Запрещен	
605e73d6-de01-11e8-83dd-485ab6090f00	dc747bdf-de0c-11e8-83de-485ab6090f00	–Force	Принудительно	
dc747be0-de0c-11e8-83de-485ab6090f00	dc747be1-de0c-11e8-83de-485ab6090f00	+	Включена	
dc747be0-de0c-11e8-83de-485ab6090f00	dc747be2-de0c-11e8-83de-485ab6090f00	-	Выключена	
